id,zh_TW,en,th,vi
0_title,見者有份,Everyone shares,ทุกคนร่วมวง,Mọi người cùng tham gia
0_content,全場喝一杯,Everyone takes a drink,ทุกคนดื่ม 1 แก้ว,Cả bàn uống 1 ly
1_title,天使降臨,Angel Arrival,เทวดามาโปรด,Thiên thần giáng thế
1_content,給你逃過一劫，Pass一次,"You get a pass, skip one round",รอดตัวไปหนึ่งครั้ง,"Bạn được miễn, bỏ qua một lần"
2_title,小丑竟是我自己,The joke is on me,ตัวตลกคือตัวฉันเอง,Tên hề lại chính là tôi
2_content,請你自己喝三杯,Drink three cups yourself,ดื่มเองสามแก้ว,Tự mình uống ba ly
3_title,這杯我請,This one is on me,แก้วนี้ฉันเลี้ยง,Ly này tôi mời
3_content,你可以指定一個人喝一杯,Choose someone to drink one cup,เลือกให้เพื่อนดื่มหนึ่งแก้ว,Chỉ định một người uống một ly
4_title,愚人國王,Foolish King,ราชาจอมปลอม,Vua hề
4_content,你是國王可以指定一個人做事一件事,"You are the King, command someone to do one thing",คุณคือราชา สั่งให้ใครทำอะไรก็ได้,"Bạn là vua, hãy chỉ định một người làm một việc"
5_title,同病相憐,Misery loves company,หัวอกเดียวกัน,Đồng bệnh tương lân
5_content,說出一個自身荒唐的故事，如果有人有相同事情則一起喝一杯，不夠荒唐自己喝一杯,"Share an embarrassing story. If no one shares the experience, it's not ""absurd"" enough—you drink one cup. If someone shares it, you both drink.","เล่าเรื่องน่าอาย หากไม่มีใครเคยเจอเหมือนกันถือว่ายังไม่ ""น่าเกลียดพอ"" ให้คุณดื่มหนึ่งแก้ว หากมีคนเคยเจอเหมือนกัน ให้ทั้งคู่ดื่มพร้อมกัน","Kể một câu chuyện xấu hổ. Nếu không ai đồng cảm thì nghĩa là chưa đủ ""thảm họa"" — bạn tự uống một ly. Nếu có người đồng cảm, cả hai cùng uống."
6_title,為什麼要逼我,Question Time,ช่วงถามคำถาม,Đến giờ hỏi đáp
6_content,你可以指定一個人回答問題，若他回答則你喝，他不回答則他喝,"Ask someone a question.if they answer, you drink; if they don't, they drink",ถามคำถามเพื่อนหนึ่งคน ถ้าเขาตอบคุณดื่ม ถ้าเขาไม่ยอมตอบเขาต้องดื่ม,"Chỉ định một người trả lời câu hỏi. Nếu họ trả lời, bạn uống. Nếu họ từ chối, họ uống."
7_title,必須的,Correct,ต้องอย่างนั้นสิ,Phải thế chứ
7_content,挑一個人對他說出一段話，另一個人一定要回答”必須的”，如果他回答不出來就他喝，他回答出來就你喝,"Say something to someone, they must say ""Correct"". If they answer""Correct"" , you drink; if they silence, they drink","พูดบางอย่างกับเพื่อน ถ้าเขาไม่ตอบว่า ""ต้องอย่างนั้นสิ"" เขาต้องดื่ม ถ้าเขาตอบ คุณต้องดื่ม","Nói một câu với ai đó, họ phải đáp lại ""Phải thế chứ"". Nếu họ không đáp được thì họ uống, nếu họ đáp đúng thì bạn uống"
8_title,缺愛怪物,Love-starved monster,สัตว์ประหลาดขาดรัก,Quái vật thiếu tình thương
8_content,親現場一位異性,Kiss someone of the opposite sex present,จูบคนเพศตรงข้ามในงาน,Hôn một người khác giới tại bàn
9_title,我是抖M,I am a Masochist,ฉันเป็นมาโซคิสต์,Tôi là M
9_content,被現場的所有人打屁股一下,Get spanked by everyone present,ให้ทุกคนในงานตีก้นหนึ่งที,Bị mọi người tại bàn đánh mông một cái
